City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
506,Mao,ES,55.96,few clouds,39.8885,4.2658,ARTIEM Capri
507,Gien,FR,53.44,overcast clouds,47.6933,2.6309,Hôtel la Poularde
508,Oyama,JP,52.07,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
509,Imperia,IT,59.99,clear sky,43.9667,7.7833,La Stregatta
511,Harper,LR,86.63,overcast clouds,4.375,-7.7169,Screensaver
514,Rio Blanco,MX,82.02,scattered clouds,18.8333,-97.15,HOTEL L'ORBE EN ORIZABA
515,Linqiong,CN,58.82,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
516,Palm Springs,US,79.3,clear sky,33.8303,-116.5453,The Colony Palms Hotel and Bungalows
517,Mogadishu,SO,85.87,broken clouds,2.0371,45.3438,Hotel Juba
518,Guerrero Negro,MX,60.06,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
519,Vila,PT,54.7,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
520,Pohrebyshche,UA,47.34,overcast clouds,49.4864,29.2636,Hotelʹ
522,Woodstock,CA,48.42,overcast clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
523,Russell,US,64.11,thunderstorm with rain,32.3502,-85.1999,Macs
524,Marsh Harbour,BS,76.82,clear sky,26.5412,-77.0636,Abaco Beach Resort
525,Joshimath,IN,56.84,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
527,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
528,Cockburn Town,TC,78.31,clear sky,21.4612,-71.1419,Osprey Beach Hotel
531,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
533,Prado,BR,85.12,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
534,Sangre Grande,TT,85.96,scattered clouds,10.5835,-61.1177,Lotus drive
535,Imbituba,BR,75.94,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
536,Vung Tau,VN,79.81,broken clouds,10.346,107.0843,Seaside Resort
